student_name,roll_no,class_id,image_filename,image_url
Sample Student 01,101,,student_101.jpg,
Sample Student 02,102,,student_102.jpg,
Sample Student 03,103,,student_103.jpg,
Sample Student 04,104,,student_104.jpg,
Sample Student 05,105,,student_105.jpg,
Sample Student 06,106,,student_106.jpg,
Sample Student 07,107,,student_107.jpg,
Sample Student 08,108,,student_108.jpg,
Sample Student 09,109,,student_109.jpg,
Sample Student 10,110,,student_110.jpg,
Sample Student 11,111,,student_111.jpg,
Sample Student 12,112,,student_112.jpg,
