dataset,identity,filename,path
lfw,AJ_Cook,AJ_Cook_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/raw/LFW/lfw-deepfunneled/lfw-deepfunneled/AJ_Cook/AJ_Cook_0001.jpg
lfw,AJ_Lamas,AJ_Lamas_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/raw/LFW/lfw-deepfunneled/lfw-deepfunneled/AJ_Lamas/AJ_Lamas_0001.jpg
lfw,Aaron_Eckhart,Aaron_Eckhart_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/raw/LFW/lfw-deepfunneled/lfw-deepfunneled/Aaron_Eckhart/Aaron_Eckhart_0001.jpg
lfw,Aaron_Guiel,Aaron_Guiel_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/raw/LFW/lfw-deepfunneled/lfw-deepfunneled/Aaron_Guiel/Aaron_Guiel_0001.jpg
lfw,Aaron_Patterson,Aaron_Patterson_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/raw/LFW/lfw-deepfunneled/lfw-deepfunneled/Aaron_Patterson/Aaron_Patterson_0001.jpg
lfw,Aaron_Peirsol,Aaron_Peirsol_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/raw/LFW/lfw-deepfunneled/lfw-deepfunneled/Aaron_Peirsol/Aaron_Peirsol_0001.jpg
lfw,Aaron_Pena,Aaron_Pena_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/raw/LFW/lfw-deepfunneled/lfw-deepfunneled/Aaron_Pena/Aaron_Pena_0001.jpg
lfw,Aaron_Sorkin,Aaron_Sorkin_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/raw/LFW/lfw-deepfunneled/lfw-deepfunneled/Aaron_Sorkin/Aaron_Sorkin_0001.jpg
lfw,Aaron_Tippin,Aaron_Tippin_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/raw/LFW/lfw-deepfunneled/lfw-deepfunneled/Aaron_Tippin/Aaron_Tippin_0001.jpg
lfw,Abba_Eban,Abba_Eban_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/raw/LFW/lfw-deepfunneled/lfw-deepfunneled/Abba_Eban/Abba_Eban_0001.jpg
lfw,Abbas_Kiarostami,Abbas_Kiarostami_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/raw/LFW/lfw-deepfunneled/lfw-deepfunneled/Abbas_Kiarostami/Abbas_Kiarostami_0001.jpg
lfw,Abdel_Aziz_Al-Hakim,Abdel_Aziz_Al-Hakim_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/raw/LFW/lfw-deepfunneled/lfw-deepfunneled/Abdel_Aziz_Al-Hakim/Abdel_Aziz_Al-Hakim_0001.jpg
lfw,Abdel_Madi_Shabneh,Abdel_Madi_Shabneh_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/raw/LFW/lfw-deepfunneled/lfw-deepfunneled/Abdel_Madi_Shabneh/Abdel_Madi_Shabneh_0001.jpg
lfw,Abdel_Nasser_Assidi,Abdel_Nasser_Assidi_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/raw/LFW/lfw-deepfunneled/lfw-deepfunneled/Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0001.jpg
lfw,Abdoulaye_Wade,Abdoulaye_Wade_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/raw/LFW/lfw-deepfunneled/lfw-deepfunneled/Abdoulaye_Wade/Abdoulaye_Wade_0001.jpg
lfw,Abdul_Majeed_Shobokshi,Abdul_Majeed_Shobokshi_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/raw/LFW/lfw-deepfunneled/lfw-deepfunneled/Abdul_Majeed_Shobokshi/Abdul_Majeed_Shobokshi_0001.jpg
lfw,Abdul_Rahman,Abdul_Rahman_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/raw/LFW/lfw-deepfunneled/lfw-deepfunneled/Abdul_Rahman/Abdul_Rahman_0001.jpg
lfw,Abdulaziz_Kamilov,Abdulaziz_Kamilov_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/raw/LFW/lfw-deepfunneled/lfw-deepfunneled/Abdulaziz_Kamilov/Abdulaziz_Kamilov_0001.jpg
lfw,Abdullah,Abdullah_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/raw/LFW/lfw-deepfunneled/lfw-deepfunneled/Abdullah/Abdullah_0001.jpg
lfw,Abdullah_Ahmad_Badawi,Abdullah_Ahmad_Badawi_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/raw/LFW/lfw-deepfunneled/lfw-deepfunneled/Abdullah_Ahmad_Badawi/Abdullah_Ahmad_Badawi_0001.jpg
lfw,Abdullah_Gul,Abdullah_Gul_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/raw/LFW/lfw-deepfunneled/lfw-deepfunneled/Abdullah_Gul/Abdullah_Gul_0001.jpg
lfw,Abdullah_Nasseef,Abdullah_Nasseef_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/raw/LFW/lfw-deepfunneled/lfw-deepfunneled/Abdullah_Nasseef/Abdullah_Nasseef_0001.jpg
lfw,Abdullah_al-Attiyah,Abdullah_al-Attiyah_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/raw/LFW/lfw-deepfunneled/lfw-deepfunneled/Abdullah_al-Attiyah/Abdullah_al-Attiyah_0001.jpg
lfw,Abdullatif_Sener,Abdullatif_Sener_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/raw/LFW/lfw-deepfunneled/lfw-deepfunneled/Abdullatif_Sener/Abdullatif_Sener_0001.jpg
lfw,Abel_Aguilar,Abel_Aguilar_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/raw/LFW/lfw-deepfunneled/lfw-deepfunneled/Abel_Aguilar/Abel_Aguilar_0001.jpg
lfw,Abel_Pacheco,Abel_Pacheco_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/raw/LFW/lfw-deepfunneled/lfw-deepfunneled/Abel_Pacheco/Abel_Pacheco_0001.jpg
